Epoch,Validation Loss,IoU Score,Dice Score,Precision,Recall,Specificity
1,0.693933,0.469576,0.616107,0.493986,0.900823,0.08718
2,0.607022,0.402999,0.552798,0.670745,0.484635,0.791948
3,0.509994,0.59582,0.735829,0.845387,0.671896,0.842871
4,0.488954,0.647456,0.776148,0.873388,0.717888,0.861081
5,0.480913,0.685434,0.805969,0.877455,0.760233,0.86452
6,0.476217,0.706332,0.821365,0.877119,0.785776,0.863164
7,0.471554,0.728297,0.836846,0.867879,0.82087,0.8478
8,0.47698,0.727186,0.836297,0.882215,0.806663,0.869624
9,0.474455,0.733322,0.840539,0.88153,0.81532,0.866214
10,0.474466,0.74023,0.845378,0.878613,0.826687,0.861604
11,0.468305,0.752687,0.854015,0.867666,0.85277,0.845576
12,0.47408,0.751292,0.85296,0.874743,0.844023,0.856251
13,0.474258,0.754922,0.85554,0.87089,0.852618,0.851194
14,0.487272,0.756337,0.856534,0.873881,0.851582,0.858526
15,0.478069,0.762043,0.860349,0.863062,0.869348,0.841735
16,0.475873,0.760458,0.859273,0.866247,0.864562,0.846786
17,0.492539,0.759047,0.858373,0.874871,0.854786,0.861
18,0.474503,0.760926,0.859397,0.869674,0.861953,0.849765
19,0.564141,0.73841,0.843053,nan,0.806228,0.887944
20,0.614323,0.734243,0.840724,0.901596,0.800556,0.894723
21,0.58229,0.737087,0.842112,0.898892,0.80711,0.888843
22,0.518703,0.760181,0.858818,0.865214,0.866289,0.847038
23,0.597083,0.753194,0.853645,0.883664,0.839748,0.871162
24,0.596338,0.75171,0.852752,0.88478,0.836532,0.871693
25,0.616796,0.750844,0.852147,nan,0.827605,0.883276
26,0.643154,0.752212,0.853204,0.893448,0.829114,0.885173
27,0.659665,0.752992,0.853491,nan,0.828352,0.886056
28,0.635952,0.763394,0.861089,nan,0.851728,0.873555
29,0.761074,0.750126,0.851411,nan,0.822827,0.889091
30,0.731025,0.757849,0.856937,nan,0.837619,0.878333
31,0.891784,0.742285,0.846122,nan,0.805811,0.90206
32,0.80518,0.753746,0.854054,nan,0.82995,0.885849
33,0.75439,0.762883,0.860414,nan,0.849834,0.870086
34,0.86038,0.748992,0.850685,nan,0.819277,0.892417
35,0.855392,0.760623,0.859112,nan,0.841011,0.883133
36,0.953217,0.747614,0.849598,nan,0.815941,0.89281
37,1.026757,0.749738,0.851502,nan,0.818372,0.897523
38,1.022954,0.752662,0.853347,nan,0.825074,0.890349
39,1.011526,0.756297,0.855887,nan,0.832437,0.885067
40,1.205037,0.746232,0.84864,nan,0.810401,0.899498
41,1.105511,0.752221,0.853127,nan,0.824343,0.892385
42,1.201859,0.747506,0.849513,nan,0.814836,0.896575
43,1.286494,0.743997,0.84691,nan,0.807883,0.899122
44,1.2267,0.750752,0.852065,nan,0.820632,0.893186
45,1.420027,0.742133,0.845656,nan,0.804087,0.901773
46,1.34504,0.748675,0.85042,nan,0.816286,0.896468
