Epoch,Validation Loss,IoU Score,Dice Score,Precision,Recall,Specificity
1,0.652246,0.560104,0.710797,0.797236,0.652888,0.828184
2,0.4483,0.767006,0.8642,0.879132,0.859025,0.856886
3,0.421107,0.780726,0.873116,0.878533,0.876798,0.850157
4,0.300054,0.791897,0.880549,0.872834,0.896039,0.853514
5,0.236569,0.797134,0.883627,0.883107,0.89123,0.861803
6,0.230618,0.79936,0.885301,0.890894,0.886406,0.871563
7,0.229045,0.802356,0.887265,0.890833,0.889748,0.875107
8,0.231387,0.799025,0.885034,0.896662,0.880251,0.879819
9,0.238644,0.795366,0.882913,0.902086,0.87087,0.89183
10,0.248053,0.801573,0.886469,0.889551,0.890084,0.867733
11,0.25074,0.799017,0.885126,0.889173,0.887883,0.870164
12,0.259365,0.793246,0.881129,0.901593,0.869062,0.886524
13,0.265102,0.797536,0.884054,0.888578,0.886696,0.871128
14,0.279537,0.791728,0.88027,0.90227,0.866517,0.889587
15,0.288939,0.797923,0.884256,0.888463,0.886996,0.871735
16,0.300206,0.796989,0.883679,0.892873,0.88144,0.877681
17,0.30607,0.797238,0.883921,0.889306,0.885157,0.876189
18,0.315065,0.796924,0.883663,0.889854,0.88421,0.873658
19,0.316629,0.796755,0.88355,0.887967,0.886095,0.872019
20,0.332618,0.796909,0.883592,0.891094,0.882991,0.874149
21,0.333857,0.798969,0.88503,0.883996,0.89262,0.867108
22,0.349852,0.796151,0.883123,0.890191,0.882864,0.874624
23,0.353885,0.794991,0.882482,0.891324,0.880507,0.877513
24,0.360897,0.79856,0.884697,0.883396,0.892546,0.865214
25,0.367614,0.798424,0.88461,0.886222,0.889579,0.869866
26,0.380877,0.796676,0.883415,0.889645,0.883847,0.874779
27,0.387004,0.796561,0.883362,0.889798,0.883563,0.874227
28,0.387013,0.798392,0.884512,0.87845,0.897396,0.856977
29,0.393065,0.795744,0.882879,0.888725,0.883736,0.875636
30,0.40237,0.798196,0.884499,0.884852,0.890544,0.869764
31,0.408107,0.798267,0.884411,0.886026,0.889404,0.870371
32,0.416486,0.796657,0.883469,0.889241,0.884305,0.875124
33,0.422042,0.797629,0.884029,0.888335,0.886349,0.872917
34,0.424028,0.798998,0.884906,0.881391,0.895029,0.863458
35,0.432458,0.796442,0.883353,0.89058,0.882688,0.876919
36,0.446195,0.796816,0.883537,0.891952,0.881708,0.878174
37,0.459165,0.797383,0.883917,0.887545,0.886762,0.872723
38,0.459461,0.79655,0.883366,0.889472,0.883942,0.875177
39,0.468397,0.797377,0.883969,0.889057,0.885327,0.876264
40,0.457501,0.798131,0.884504,0.885166,0.890204,0.870291
41,0.477872,0.796379,0.883195,0.893946,0.879163,0.879967
42,0.486895,0.797195,0.883803,0.889763,0.884392,0.875911
43,0.488204,0.798981,0.884934,0.886289,0.889968,0.87141
44,0.485736,0.797535,0.883979,0.887307,0.887176,0.872356
45,0.497942,0.797229,0.883842,0.88861,0.885436,0.87631
46,0.503302,0.795447,0.882684,0.891697,0.880185,0.880584
47,0.519637,0.794047,0.881712,0.896978,0.873426,0.885108
48,0.504434,0.798493,0.884597,0.886215,0.889313,0.87104
49,0.514603,0.79689,0.883631,0.886072,0.887658,0.873475
50,0.518026,0.798077,0.884308,0.890752,0.884255,0.876375
51,0.53041,0.795853,0.88289,0.892172,0.880286,0.878696
52,0.523374,0.798822,0.884856,0.885552,0.890426,0.871286
53,0.542579,0.79607,0.883043,0.893529,0.879093,0.881971
54,0.549674,0.796259,0.883199,0.891808,0.881159,0.878705
55,0.536964,0.798921,0.884921,0.885705,0.890369,0.872273
56,0.539354,0.798091,0.884329,0.889136,0.885806,0.87568
57,0.546057,0.797954,0.884404,0.887055,0.888015,0.874708
58,0.564381,0.797965,0.884287,0.890116,0.88486,0.876724
59,0.555317,0.79766,0.884097,0.889462,0.885145,0.876367
60,0.569898,0.799579,0.885279,0.88831,0.888508,0.874884
61,0.582384,0.79735,0.883875,0.891745,0.882421,0.879488
62,0.584092,0.797054,0.883743,0.890811,0.88309,0.878447
63,0.580618,0.79934,0.885125,0.88637,0.890106,0.871734
64,0.58743,0.797754,0.884147,0.892116,0.882545,0.88085
65,0.596741,0.797376,0.883883,0.895075,0.879203,0.882129
66,0.601786,0.799052,0.884991,0.888061,0.888092,0.87457
67,0.582956,0.798904,0.884961,0.886825,0.889287,0.874659
68,0.580136,0.797639,0.884101,0.89219,0.882298,0.881348
69,0.594889,0.798887,0.884901,0.889855,0.886174,0.877225
70,0.607448,0.800041,0.885676,0.888994,0.888513,0.875381
71,0.602681,0.799791,0.885513,0.887473,0.889705,0.874015
72,0.618234,0.79829,0.884496,0.892783,0.882486,0.880333
73,0.631471,0.798861,0.884826,0.89352,0.882373,0.881773
74,0.623023,0.798617,0.884705,0.88958,0.886086,0.877869
75,0.625308,0.799421,0.88523,0.888536,0.888111,0.874943
76,0.628555,0.797088,0.883738,0.893759,0.880001,0.883405
77,0.619924,0.799947,0.885513,0.889241,0.887897,0.876477
78,0.638327,0.796546,0.88331,0.894672,0.878367,0.884171
79,0.647274,0.79829,0.884562,0.893935,0.881428,0.883867
80,0.646553,0.7993,0.885103,0.890986,0.885495,0.878775
81,0.646158,0.798438,0.884494,0.895505,0.879881,0.882923
82,0.633568,0.799825,0.885461,0.885498,0.891488,0.873055
83,0.653706,0.798545,0.884684,0.89119,0.884426,0.879045
84,0.653994,0.800387,0.885788,0.888347,0.88936,0.873669
85,0.660661,0.798172,0.884415,0.89142,0.883707,0.879435
86,0.652237,0.800123,0.885682,0.888582,0.88883,0.877311
87,0.656357,0.801071,0.886276,0.88669,0.891888,0.872935
88,0.685822,0.800372,0.885762,0.891343,0.886308,0.878314
89,0.668296,0.800546,0.885971,0.888248,0.889705,0.874917
90,0.669189,0.798163,0.884394,0.89503,0.880015,0.884069
91,0.665534,0.799502,0.885313,0.891196,0.885515,0.878774
92,0.679605,0.799511,0.885233,0.89224,0.884363,0.880595
93,0.674148,0.801315,0.886417,0.888485,0.890302,0.875419
94,0.682546,0.800645,0.885957,0.890862,0.887063,0.879781
95,0.696046,0.799325,0.885136,0.894159,0.882234,0.882718
96,0.68809,0.801401,0.886484,0.888126,0.890784,0.875773
97,0.718781,0.79999,0.885632,0.894992,0.882293,0.885478
98,0.69667,0.801859,0.886789,0.889567,0.889919,0.877532
99,0.707685,0.79951,0.885273,0.891837,0.884838,0.881405
100,0.695724,0.800798,0.886103,0.892054,0.8862,0.880803
